Category: All categories

Month,Cambridge Analytica Whistleblower: (Worldwide)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,4
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,100
2018-04,41
2018-05,21
2018-06,8
2018-07,0
2018-08,0
2018-09,4
2018-10,5
2018-11,5
2018-12,6
2019-01,5
2019-02,0
2019-03,5
2019-04,0
2019-05,0
2019-06,4
2019-07,18
2019-08,19
2019-09,7
2019-10,17
2019-11,13
2019-12,8
2020-01,10
2020-02,8
2020-03,5
2020-04,3
2020-05,4
2020-06,7
2020-07,5
2020-08,0
2020-09,0
2020-10,3
2020-11,4
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,4
2021-06,0
2021-07,0
2021-08,0
2021-09,4
2021-10,0
2021-11,0
2021-12,0
2022-01,0
